Country,City,AccentCity,Population,Latitude,Longitude
cn,jixi,Jixi,403759.0,45.3,130.966667
cn,kaifeng,Kaifeng,576915.0,34.744167,114.418611
cn,kunming,Kunming,1023674.0,25.038889,102.718333
cn,langfang,Langfang,720119.0,39.509722,116.694722
cn,lanzhou,Lanzhou,1417742.0,36.056389,103.792222
cn,liaoyang,Liaoyang,687890.0,41.226111,123.05611100000002
cn,liuzhou,Liuzhou,763168.0,24.312582,109.389157
cn,luancheng,Luancheng,597130.0,37.879167,114.651667
cn,luohe,Luohe,417356.0,33.571667,114.035278
cn,luoyang,Luoyang,1390581.0,34.683611,112.453611
cn,luqiao,Luqiao,427890.0,28.580835,121.377148
cn,maanshan,Maanshan,540198.0,31.695678000000004,118.498248
cn,maoming,Maoming,473251.0,21.65,110.9
cn,mudanjiang,Mudanjiang,665915.0,44.583333,129.6
cn,nanchang,Nanchang,1871351.0,28.55,115.933333
cn,nanjing,Nanjing,3087010.0,32.061667,118.777778
cn,nanning,Nanning,803788.0,22.816667,108.316667
cn,nantong,Nantong,666251.0,32.030278,120.874722
cn,neijiang,Neijiang,546854.0,29.583536,105.06216
cn,ningbo,Ningbo,719867.0,29.878186,121.549453
cn,panzhihua,Panzhihua,461513.0,26.547902,101.705386
cn,peking,Peking,7480601.0,39.928889,116.388333
cn,pingdingshan,Pingdingshan,889675.0,33.738471999999994,113.301194
cn,pingxiang,Pingxiang,372123.0,27.616667,113.85
cn,puyang,Puyang,666322.0,35.702778,115.005278
cn,qingdao,Qingdao,1642245.0,36.098611,120.371944
cn,qinhuangdao,Qinhuangdao,759718.0,39.931667,119.588333
cn,qiqihar,Qiqihar,882364.0,47.340833,123.967222
cn,qitaihe,Qitaihe,345033.0,45.8,130.85
cn,rongcheng,Rongcheng,1001985.0,23.528858,116.364159
cn,sanmenxia,Sanmenxia,357767.0,34.774722,111.181389
cn,shanghai,Shanghai,14608512.0,31.045556,121.399722
cn,shangrao,Shangrao,318769.0,28.453221000000006,117.968604
cn,shaoguan,Shaoguan,628749.0,24.8,113.583333
cn,shaoxing,Shaoxing,421283.0,30.011019,120.571528
cn,shaoyang,Shaoyang,649452.0,26.965893,111.241376
cn,shashi,Shashi,498780.0,30.307222,112.244722
cn,shenyang,Shenyang,3512192.0,41.792222,123.432778
cn,shenzhen,Shenzhen,1002592.0,22.533333,114.133333
cn,shihezi,Shihezi,572772.0,44.3,86.033333
cn,shiyan,Shiyan,408055.0,32.6475,110.778056
cn,suzhou,Suzhou,1343091.0,31.311389,120.618056
cn,taian,Taian,750340.0,36.185278,117.12
cn,taiyuan,Taiyuan,2722475.0,37.726944,112.470833
cn,taizhou,Taizhou,612356.0,32.493333,119.910627
cn,tanggu,Tanggu,535298.0,39.021111,117.646944
cn,tangshan,Tangshan,2054526.0,37.3325,114.701389
cn,tianjin,Tianjin,3766207.0,39.142222,117.176667
cn,tieling,Tieling,333907.0,42.293056,123.841389
cn,tongling,Tongling,312588.0,30.933333,117.816667
cn,urumqi,Ürümqi,1508225.0,43.80096500000001,87.600459
cn,weifang,Weifang,394732.0,36.71,119.101944
cn,wenzhou,Wenzhou,865672.0,27.999416,120.66682
cn,wuhan,Wuhan,4184206.0,30.580125,114.273405
cn,wuhu,Wuhu,507524.0,31.14607,118.57068999999998
cn,wuxi,Wuxi,1108647.0,31.568873,120.288573
cn,xiamen,Xiamen,578337.0,24.479794,118.081869
cn,xiangfan,Xiangfan,462956.0,32.042203,112.144794
cn,xian,Xian,3953191.0,34.258333,108.928611
cn,xianyang,Xianyang,1034081.0,34.33778,108.70261
cn,xingtai,Xingtai,611739.0,37.063056,114.494167
cn,xining,Xining,767531.0,36.616667,101.766667
cn,xinpu,Xinpu,392444.0,34.599722,119.159444
cn,xinxiang,Xinxiang,743601.0,35.308889,113.867222
cn,xinyang,Xinyang,1590668.0,32.095833,114.120278
cn,xuanhua,Xuanhua,373422.0,40.610278,115.044722
cn,xuchang,Xuchang,449258.0,34.016667,113.816667
cn,xuzhou,Xuzhou,1199193.0,34.180454,117.15707
cn,yancheng,Yancheng,628441.0,33.385556,120.125278
cn,yangjiang,Yangjiang,399735.0,21.85,111.966667
cn,yangzhou,Yangzhou,539715.0,32.397222,119.435833
cn,yanji,Yanji,326957.0,42.771389,129.423333
cn,yantai,Yantai,719332.0,37.533333,121.4
cn,yichang,Yichang,476725.0,30.77135,111.321458
cn,yinchuan,Yinchuan,475101.0,38.468056,106.273056
cn,yingkou,Yingkou,591159.0,40.637318,122.502508
cn,yueyang,Yueyang,528140.0,29.140833,113.111111
cn,zhangdian,Zhangdian,669770.0,36.790556,118.063333
cn,zhangjiakou,Zhangjiakou,692602.0,40.81,114.879444
cn,zhangzhou,Zhangzhou,589831.0,24.513333,117.655556
cn,zhanjiang,Zhanjiang,637790.0,21.281452,110.342713
cn,zhaoqing,Zhaoqing,361969.0,23.051157,112.459722
cn,zhenjiang,Zhenjiang,632552.0,32.209167,119.434167
cn,zhongshan,Zhongshan,342306.0,22.520576,113.382318
cn,zhoukou,Zhoukou,377061.0,33.633333,114.633333
cn,zhuhai,Zhuhai,501199.0,22.276944,113.567778
cn,zhuzhou,Zhuzhou,709358.0,27.691868,113.152137
cn,zigong,Zigong,689961.0,29.341622,104.776887
cn,zunyi,Zunyi,466292.0,27.543056,106.823056
co,armenia,Armenia,315332.0,4.533889,-75.681111
co,barranquilla,Barranquilla,1380437.0,10.963889,-74.796389
co,bello,Bello,392945.0,6.337315,-75.557951
co,bogota,Bogotá,7102602.0,4.649178,-74.062827
co,bucaramanga,Bucaramanga,571827.0,7.125392999999999,-73.119804
co,cali,Cali,2392897.0,3.437222,-76.5225
co,cartagena,Cartagena,952036.0,10.399722,-75.514444
co,cucuta,Cúcuta,721406.0,7.893907,-72.50782099999998
co,ibague,Ibagué,421689.0,4.438889,-75.232222
co,manizales,Manizales,357819.0,5.0688900000000015,-75.517383
co,medellin,Medellín,2000001.0,6.2518400000000005,-75.563591
co,neiva,Neiva,352859.0,2.927299,-75.281885
co,pasto,Pasto,382242.0,1.213611,-77.281111
co,pereira,Pereira,440123.0,4.813333,-75.696111
co,santa marta,Santa Marta,431788.0,11.240791,-74.19904
co,soacha,Soacha,313950.0,4.579368,-74.216819
co,soledad,Soledad,342562.0,10.918433,-74.76459
co,valledupar,Valledupar,308242.0,10.46314,-73.253224
co,villavicencio,Villavicencio,321721.0,4.142002,-73.626645
cu,camaguey,Camagüey,347572.0,21.380833300000006,-77.9169444
cu,holguin,Holguín,319114.0,20.8872222,-76.2630556
cu,santiago de cuba,Santiago de Cuba,555878.0,20.0247222,-75.8219444
cz,brno,Brno,377407.0,49.2,16.633333
cz,ostrava,Ostrava,317136.0,49.811852,18.255282
cz,prague,Prague,1154508.0,50.083333,14.466667
de,berlin,Berlin,3398362.0,52.51666700000001,13.4
de,bielefeld,Bielefeld,327198.0,52.033333,8.533333
de,bochum,Bochum,387061.0,51.483333,7.216667
de,bonn,Bonn,314081.0,50.733333,7.1
de,bremen,Bremen,546429.0,53.083333,8.8
de,cologne,Cologne,968823.0,50.93333300000001,6.95
de,dortmund,Dortmund,594255.0,51.516667,7.45
de,dresden,Dresden,480801.0,51.05,13.75
de,duisburg,Duisburg,505271.0,51.43333300000001,6.75
de,dusseldorf,Düsseldorf,577139.0,51.216667,6.766667
de,essen,Essen,576914.0,51.45,7.016667
de,frankfurt,Frankfurt,648034.0,50.116667,8.683333
de,hamburg,Hamburg,1733846.0,53.55,10.0
de,hanover,Hanover,519144.0,52.366667,9.716667
de,leipzig,Leipzig,492637.0,51.3,12.333333
de,mannheim,Mannheim,309626.0,49.488333,8.464722
de,munich,Munich,1246133.0,48.15,11.5833
de,nuremberg,Nuremberg,497593.0,49.447778,11.068333
de,stuttgart,Stuttgart,591688.0,48.766667,9.183333
de,wuppertal,Wuppertal,363240.0,51.266667,7.183333
dj,jibuti,Jibuti,623891.0,11.595,43.148055600000006
dk,copenhagen,Copenhagen,1089958.0,55.666667,12.583333
do,santiago,Santiago,555911.0,19.45,-70.7
do,santo domingo,Santo Domingo,2202016.0,18.4666667,-69.9
dz,algiers,Algiers,1980242.0,36.7630556,3.0505556
dz,constantine,Constantine,450126.0,36.365,6.614722200000001
dz,wahran,Wahran,646025.0,35.6911111,-0.6416666999999999
ec,guayaquil,Guayaquil,1952029.0,-2.1666667,-79.9
ec,quito,Quito,1399814.0,-0.2166667,-78.5
ee,tallinn,Tallinn,394023.0,59.4338889,24.7280556
eg,alexandria,Alexandria,3811512.0,31.198055600000004,29.9191667
eg,asyut,Asyut,420614.0,27.1827778,31.1827778
eg,cairo,Cairo,7734602.0,30.05,31.25
eg,el faiyum,El Faiyûm,306421.0,29.3077778,30.84
eg,el mahalla el kubra,El Mahalla el Kubra,431088.0,30.976111100000004,31.166944399999995
eg,gizeh,Gizeh,2443490.0,30.008611100000003,31.2122222
eg,luxor,Luxor,422408.0,25.6833333,32.65
